path_adversarial,original_prevision,adversarial_prevision,success
Adversarial_img/in_distribution/it/untarget/0.png,1,23,1
Adversarial_img/in_distribution/it/untarget/1.png,9,9,0
Adversarial_img/in_distribution/it/untarget/2.png,27,23,1
Adversarial_img/in_distribution/it/untarget/3.png,7,23,1
Adversarial_img/in_distribution/it/untarget/4.png,23,23,0
Adversarial_img/in_distribution/it/untarget/5.png,33,23,1
Adversarial_img/in_distribution/it/untarget/6.png,8,23,1
Adversarial_img/in_distribution/it/untarget/7.png,2,23,1
Adversarial_img/in_distribution/it/untarget/8.png,3,23,1
Adversarial_img/in_distribution/it/untarget/9.png,13,23,1
Adversarial_img/in_distribution/it/untarget/10.png,26,1,1
Adversarial_img/in_distribution/it/untarget/11.png,22,23,1
Adversarial_img/in_distribution/it/untarget/12.png,36,36,0
Adversarial_img/in_distribution/it/untarget/13.png,42,23,1
Adversarial_img/in_distribution/it/untarget/14.png,6,23,1
